ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,geq 3 FPP Date,geq 10 FPP Date,geq 20 FPP Date,geq 35 FPP Date
1739,10,10,,,40309,40322,40327,40399
1740,,,,,40497,,,
1741,8,,,,40470,40492,,
1742,9,9,9,,40294,40320,40329,40722
1743,9,10,10,9,40462,40473,40488,
1744,7,10,,10,40330,40496,,
1745,9,,,,40287,40296,40438,
1746,,,,,40320,40325,40483,
1747,10,10,9,,40316,40324,40330,40442
1748,9,,,,40319,40326,,
1749,,,,8,40330,40451,40455,
1750,10,10,9,10,40327,,,
1751,,,9,,40478,,,
1752,8,9,10,10,40310,40325,40329,
1753,10,10,10,10,40258,40277,40322,40331
1754,10,,9,,40450,40458,,
1755,,9,,8,40342,40353,40420,40435
1756,8,,,,40513,,,
1757,10,,,,40331,40449,,
1758,,9,,,40446,40463,40494,
1759,5,7,,7,40431,,,
1760,10,,,,40327,,,
1761,9,,9,,40442,40451,40566,
1762,,,10,,40466,,,
1763,,,10,10,40297,40472,,
1764,10,,,,40325,40332,,
1765,9,9,9,8,40275,40450,40545,
1766,8,,,,40304,40331,,
1767,,,,,40448,,,
1768,10,,,,40329,40330,40473,
1769,10,10,,,40452,40463,40469,
1770,8,,,9,40296,40305,40329,40451
1771,10,,9,,40337,40669,,
1772,2,8,,,40483,,,
1773,10,,,,40312,40322,40328,
1774,10,,,10,40323,40477,,
1775,,,,,40467,,,
1776,10,,,,40452,40475,,
1777,10,,,,40298,40320,,
1778,10,,,,40438,40459,40470,
1779,9,,,,40444,40452,,
1780,,,,,40329,,,
1781,,,,,40330,,,
1782,10,,,,40480,40492,,
1783,5,,,10,40321,40325,40330,
1784,,,,,40443,,,
1785,9,10,10,10,40472,40472,40472,40474
1786,9,,7,,40304,40330,40333,40470
1787,10,10,,,40334,40456,40482,
1788,9,8,9,,40295,40319,,
1789,10,,,,40443,,,
1790,10,10,9,9,40458,40464,40493,
1791,8,10,10,,40456,40472,,
1792,,,,,40465,40466,,
1793,10,8,9,10,40448,40457,40468,40472
1794,9,9,9,9,40337,40463,,
1795,8,7,,,40449,40472,,
1796,7,10,10,8,40316,40320,40326,40329
1797,10,10,10,,40427,,,
1798,7,6,,,40446,40463,,
1799,10,,,,40322,,,
1800,8,8,7,,40314,40331,,
1801,10,,,,40475,,,
1802,,,,,40463,,,
1803,8,,9,,40435,40441,,
1804,10,,,10,40451,,,
1805,10,,,,40436,,,
1806,10,,,,40437,40445,40452,
1807,9,,,,40476,40481,,
1808,9,,,,40459,40463,40466,
1809,,,,,40463,40480,,
1810,10,,,10,40437,40442,40450,40459
1811,8,,,,40457,40462,,
1812,10,9,8,,40443,40459,,
1813,,,,,40455,40463,40481,
1814,9,,,,40464,,,
1815,,,,,40471,,,
1816,10,,,,40466,,,
1817,9,,,8,40476,40482,,
1818,,,,,40480,,,
1819,,,,10,40470,40476,40479,
1820,,,,,40486,,,
1821,10,,,,40479,40485,40597,
1822,,,,,40505,,,
1823,,,,,40503,40513,,
1824,10,,,,40557,40567,,
1825,10,9,10,9,40321,40330,40437,40519
1826,9,,,,40456,40465,40483,
1827,10,10,10,10,40302,40330,40448,
1828,10,,9,,40418,40498,,
1829,,10,10,,40336,,,
1830,8,,,,40346,40452,,
1831,8,,,,40430,40437,40441,40443
1832,10,10,10,,40194,40240,40326,40428
1833,10,10,,,40449,,,
1834,,,,,40473,,,
1835,,,,,40459,,,
1836,9,8,,,40442,40521,,
1837,10,8,,,40325,40464,,
1838,8,,,,40319,,,
1839,,,,,40324,40328,40331,
1840,8,8,,,40451,40481,,
1841,9,10,9,10,40458,40464,40465,40469
1842,9,,,8,40480,,,
1843,,10,10,10,40318,40324,40336,40609
1844,8,,7,,40329,40344,,
1845,10,,10,,40263,40277,40280,
1846,,,,,40660,,,
1847,8,10,,,40469,40479,,
1848,9,10,,,40457,40666,,
1849,,,,,40443,,,
1850,9,,,,40441,40448,40463,
1851,10,,,,40445,,,
1852,10,8,,,40454,,,
1853,,,,10,40455,,,
1854,,10,10,10,40452,40459,40468,
1855,,,,,40463,,,
1856,8,9,,,40450,40467,,
1857,10,,,,40473,40482,,
1858,10,,,,40500,,,
1859,9,10,8,10,40514,40521,,
1860,7,10,10,,40462,40466,,
1861,10,,,,40494,40499,,
1862,,,,,40333,40469,,
1863,,10,,8,40431,40506,,
1864,10,,,,40454,40467,,
1865,7,,,,40476,40485,,
1866,9,,,,40500,40513,,
1867,9,,,10,40522,40529,,
1868,10,,10,,40339,40343,,
1869,,,,,40658,40658,40658,40658
1870,,,,,40442,40456,40469,40477
1871,9,,8,8,40287,40296,40329,
1872,,10,10,,40444,40680,,
1873,9,10,10,9,40298,40328,40478,
1874,,9,10,9,40558,40584,,
1875,10,10,10,10,40268,40274,40287,40322
1876,10,,,,40291,40326,40336,
1877,10,,10,,40302,40315,40325,40336
1878,10,8,,,40452,,,
1879,10,,,10,40327,40330,40402,40486
1880,10,,,,40280,40299,40466,
1881,,,,,40496,,,
1882,,10,10,10,40462,,,
1883,10,10,10,10,40262,40262,40262,40266
1884,10,10,,,40466,40478,40497,
1885,9,8,10,,40430,,,
1886,10,10,10,,40441,40476,,
1887,10,10,,,40519,40522,40528,40534
1888,10,,,,40456,40466,40471,40473
1889,,,,,40329,40330,40337,
1890,10,10,,,40312,40336,40499,
1891,,10,,,40511,40511,40511,40511
1892,,8,,,40611,,,
1893,10,10,,,40460,40470,40513,
1894,10,,,,40451,40469,,
1895,,,,,40464,40477,,
1896,9,,,,40472,40478,40489,40495
1897,,,,,40502,40505,,
1898,10,9,9,9,40567,40583,40585,40696
1899,,,,,40631,40631,40631,40631
1900,10,9,10,9,40459,40467,40474,40479
1901,6,10,10,,40555,40555,40555,40555
1902,,10,,,40451,40463,,
1903,7,,,,40511,40511,40511,40519
1904,,,,,40612,40612,40612,40639
1905,10,,10,,40324,,,
1906,9,9,10,8,40329,40465,,
1907,10,,6,,40287,40477,,
1908,10,9,9,,40300,40318,40326,40461
1909,,8,,,40452,,,
1910,9,,10,,40234,40267,,
1911,9,8,10,10,40309,40330,,
1912,10,,,,40442,40462,40466,
1913,,,10,,40463,40466,,
1914,,10,10,,40471,,,
1915,9,10,8,,40451,,,
1916,7,8,,,40458,,,
1917,10,,,,40445,40450,,
1918,,,,,40454,40651,,
1919,,,,,40437,40450,,
1920,10,,,,,,,
1921,10,,,,40500,40504,40512,40515
1922,8,,,,40270,40287,40298,40323
1923,,10,9,,40617,40617,40618,40625
1924,10,,,,40468,40472,40473,40476
1925,,,,,40597,40602,40604,40606
1926,9,,9,9,40253,40322,40329,
1927,8,9,9,,40466,40481,40487,
1928,8,9,9,,40466,40484,40675,
1929,9,,,,40471,40479,40486,40515
1930,9,,10,,40203,40275,40333,
1931,8,10,10,,40478,40486,40491,40495
1932,,,,,40444,40460,40465,40485
1933,8,9,9,9,40340,,,
1934,10,,10,,40330,40466,,
1935,10,,10,,40512,,,
1936,10,,,,40483,40497,,
1937,10,9,,,40448,40473,,
1938,10,,,,40626,40641,40641,
1939,10,,,10,40310,,,
1940,,,,,40492,40499,40501,40505
1941,10,,10,,40512,,,
1942,10,10,,,40610,40618,40620,40644
1943,,,,,40672,40672,40672,40672
1944,10,10,,7,40458,,,
1945,10,,,,40448,40457,,
1946,9,,9,,40259,40273,40277,
1947,10,10,10,,40442,40466,,
1948,10,8,,,40479,,,
1949,9,10,10,,40467,40510,,
1950,9,,,,40322,40331,,
1951,10,10,,,40487,40487,,
1952,9,10,8,8,40308,40308,40309,40310
1953,,7,,,40323,40472,,
1954,10,,10,,40470,40470,,
1955,,,9,,40471,,,
1956,10,,,,40422,,,
1957,,,,10,40322,40454,40644,
1958,,,,10,40269,40305,40675,
1959,,10,,,40464,,,
1960,9,,,,40281,,,
1961,10,9,9,10,40318,40322,40326,40330
1962,8,,,,40424,40456,,
1963,6,,,1,40576,40599,,
1964,10,10,,,40296,40313,,
1965,8,9,7,,40327,40340,,
1966,9,10,8,8,40301,40311,40326,40444
1967,10,8,10,8,40434,40471,,
1968,7,9,,,40462,40475,40647,
1969,10,9,9,8,40298,40312,40329,
1970,9,,,,40308,40475,,
1971,9,10,,,40442,40475,40490,
1972,10,,,,40442,,,
1973,,10,,8,40465,,,
1974,8,,,,40454,40491,,
1975,10,,,,40451,40469,40476,
1976,,10,,,40480,,,
1977,10,,10,,40224,40224,40242,40295
1978,10,,,,40652,,,
1979,10,,,,40496,,,
1980,10,10,10,,40482,40496,,
1981,10,10,10,10,40311,40365,,
1982,10,,,,40511,,,
1983,10,,,,40316,40326,,
1984,10,,,,40451,40490,,
1985,9,10,,,40241,40325,40336,
1986,10,,,,40438,40451,40454,
1987,,,,,40312,40316,40324,40437
1988,10,10,10,9,40260,40267,40297,
1989,8,,9,,40322,40327,40480,
1990,10,,,,40322,40338,,
1991,10,,,,40484,40499,,
1992,10,10,10,10,40487,,,
1993,9,8,,,40460,40470,40478,
1994,10,,8,,40317,40695,,
1995,6,,,10,40290,40295,,
1996,10,,,,40450,40456,,
1997,,,,,40483,,,
1998,9,,,,40486,40501,40700,
1999,10,10,8,7,40299,40424,40472,
2000,10,,10,,40294,40324,40329,40540
2001,10,10,10,10,40242,40275,40330,
2002,10,5,9,8,40297,40315,40318,40326
2003,,,8,9,40330,,,
2004,10,,10,10,40228,40453,40456,40703
2005,10,10,10,9,40325,40331,40602,
2006,10,10,10,,40441,40469,,
2007,10,,10,10,40320,40326,40337,
2008,8,10,,9,40321,40330,,
2009,,,10,10,40316,40337,,
2010,10,,,10,40323,40340,40490,
2011,10,9,,,40301,40322,40449,40487
2012,7,,,,40338,40686,,
2013,,,,,40449,,,
2014,10,10,10,10,40294,40314,40328,40458
2015,10,10,,,40457,40481,,
2016,,,,,40343,40480,,
2017,9,10,10,10,40323,40436,40466,
2018,,10,10,10,40330,40468,40476,
2019,10,10,10,9,40327,40330,40464,
2020,,10,,,40326,40442,40452,
2021,10,10,,9,40324,40330,40337,40599
2022,9,,,,40455,40471,,
2023,,10,8,,40329,40333,40440,40461
2024,10,10,9,10,40472,40486,40504,
2025,,,,,40326,40330,,
2026,8,8,,,40249,40267,40320,
2027,10,,10,8,40627,,,
2028,8,,10,,40295,40320,40330,40573
2029,10,,,,40294,40294,,
2030,10,,,,40494,,,
2031,10,10,10,10,40488,40495,40503,
2032,8,9,,,40485,40491,40513,
2033,10,,8,,40317,40327,40330,40620
2034,10,8,10,,40318,40477,40484,
2035,8,,10,,40312,40328,40464,
2036,10,10,9,9,40324,40401,40446,
2037,10,,,,40462,,,
2038,10,9,10,,40497,40518,,
2039,,9,10,9,40323,40330,,
2040,,10,,10,40464,40471,40480,40483
2041,9,,,10,40441,40455,40462,40465
2042,7,,,,40448,40452,,
2043,10,,,,40574,,,
2044,10,10,10,10,40450,40462,40469,40477
2045,10,10,10,,40329,40336,40457,
2046,10,10,,,40483,,,
2047,10,,,,40338,,,
2048,,,,,40500,40500,40500,
2049,10,,,,40466,40479,,
2050,7,,,,40470,40484,40495,40500
2051,9,,,,40491,,,
2052,,,,,40608,,,
2053,10,,,10,40322,40331,40434,40452
2054,,,10,,40292,40308,40301,40316
2055,,,,,40304,40545,,
2056,,,,,40317,40331,,
2057,,,9,,40281,40281,,
2058,10,9,10,,40444,40456,40465,40480
2059,,,,,40477,,,
2060,8,,,,40522,,,
2061,10,10,,10,40661,40661,40661,
2062,10,10,10,,40324,40444,,
2063,8,8,10,10,40330,40462,,
2064,10,,,,40312,,,
2065,10,,,,40317,40654,,
2066,,,,,40612,40612,40612,40612
2067,,,,,40501,,,
2068,10,10,10,10,40298,40318,40325,40344
2069,,,,10,40328,40330,,
2070,,,9,10,40311,40325,40350,
2071,10,,,,40277,40303,,
2072,9,10,9,,40325,40330,40456,
2073,,10,,10,40450,,,
2074,10,9,10,10,40455,40480,,
2075,10,10,8,10,40491,40549,40557,40567
2076,10,,10,,40490,,,
2077,10,6,10,,40546,40562,40564,40602
2078,6,10,,,40319,40330,,
2079,10,,,,40335,40358,,
2080,10,9,,,40326,,,
2081,10,,,10,40452,40465,,
2082,,,8,,40329,40337,40450,
2083,10,,10,10,40232,40477,,
2084,,10,,,40445,40550,,
2085,8,,,,40462,40469,40471,
2086,,,9,8,40512,,,
2087,,10,9,8,40324,,,
2088,,10,10,8,40329,40337,40563,
2089,8,,9,,40294,40293,40331,
2090,,,9,10,40246,40263,40325,40337
2091,10,,,,40315,40328,,
2092,9,,,,40323,40329,,
2093,10,,,,40470,,,
2094,10,,,,40318,40331,,
2095,10,10,9,10,40462,,,
2096,10,10,10,,40325,,,
2097,,,8,8,40483,,,
2098,9,,,,40326,40494,,
2099,,,,,40385,40385,40516,
2100,10,10,,,40442,40464,40472,
2101,10,10,,,40448,,,
2102,10,,,,40460,40464,40469,
2103,10,,,,40480,40501,,
2104,,,,,40485,40489,40494,
2105,9,,10,,40499,40527,,
2106,,,,,40501,,,
2107,9,9,,,40505,,,
2108,10,,10,,40326,40330,,
2109,9,,,,40527,,,
2110,10,,,10,40310,40328,,
2111,10,,10,10,40254,40262,40280,
2112,10,,9,,40232,,,
2113,9,,10,,40461,40497,,
2114,10,10,,7,40285,40322,40331,40571
2115,10,10,9,9,40317,40323,40329,40331
2116,9,10,9,,40444,40632,,
2117,,,,,39972,39973,,
2118,,,10,10,40157,40659,,
2119,10,,,,40291,40452,,
2120,8,,10,8,40459,40630,,
2121,,,,,40134,40226,,
2122,10,,,,40302,,,
2123,10,,,,40330,,,
2124,7,,,,40444,40464,,
2125,10,,,,40448,,,
2126,10,10,,,40459,,,
2127,10,,,,40478,,,
2128,,,,,40483,,,
2129,9,,,,40472,,,
2130,,10,9,,40330,40343,40442,40476
2131,10,10,10,10,40330,40341,40466,
2132,10,10,10,10,40335,40340,40462,
2133,,,9,,40435,40443,,
2134,,10,9,8,40329,40456,,
2135,8,9,,,40330,,,
2136,10,,,,40318,40325,,
2137,10,,,8,40340,40456,40488,
2138,,,,,40343,,,
2139,9,10,,9,40330,40513,,
2140,,,,,40481,40485,,
2141,9,10,9,,40298,40307,40323,40449
2142,10,10,10,10,40321,40454,,
2143,10,10,,,40469,,,
2144,10,10,10,,40327,40666,,
2145,9,,,,40283,40291,,
2146,10,10,10,10,40322,40329,40360,40469
2147,10,,,9,40343,,,
2148,,,,,40269,40297,40301,40328
2149,9,10,7,9,40463,,,
2150,10,,,,40442,40456,40459,
2151,9,,10,,40316,40465,,
2152,10,9,,,40452,40473,,
2153,7,,,10,40339,40438,40448,
2154,9,8,9,6,40392,40452,40462,40477
2155,9,,,,40324,40330,,
2156,,,,,40305,40308,40316,40331
2157,10,9,10,9,40246,40315,40412,40464
2158,10,,,,40442,40455,40470,40672
2159,8,10,,,40481,40486,,
2160,10,,10,7,40318,40446,40466,
2161,7,,10,10,40329,40330,,
2162,9,9,9,,40329,,,
2163,,,,,40330,,,
2164,,,,,40308,40329,,
2165,10,10,9,,40323,40436,,
2166,7,10,,,40451,40464,,
2167,9,,10,,40296,40324,40333,40481
2168,10,10,,,40441,40442,,
2169,10,10,,,40432,,,
2170,,,,7,40431,,,
2171,10,,,,40469,,,
2172,,,,,40500,40500,40500,40500
2173,9,8,,10,40326,40336,,
2174,9,,9,10,40298,40316,40329,40339
2175,10,10,10,10,40317,40333,40480,
2176,10,10,,,40442,40463,40473,40478
2177,,10,,,40335,40345,40520,
2178,,,,,40472,40483,40654,
2179,10,10,,,40449,40459,,
2180,10,10,10,10,40253,40253,40253,40254
2181,8,10,8,10,40321,,,
2182,9,10,10,7,40312,40330,,
2183,9,9,10,8,40334,40337,,
2184,,,10,,40639,40639,40639,
2185,10,,,,40303,,,
2186,10,,10,,,,,
2187,,,,,40478,,,
2188,,,10,,40349,40460,40465,40470
2189,8,9,9,,40240,40289,40440,40459
2190,,,9,,40473,40497,40512,
2191,10,10,10,8,40263,,,
2192,5,,,9,40326,40331,,
2193,7,,,,40496,,,
2194,10,,,,40332,40469,,
2195,8,,,,40701,,,
2196,10,,,,40308,40335,,
2197,10,,10,,40310,,,
2198,10,,,,40457,,,
2199,10,,10,,40486,,,
2200,10,9,7,10,40316,40330,40604,
2201,8,8,4,8,40320,40450,,
2202,10,9,6,8,40331,40331,40457,40464
2203,9,,,10,40317,40610,,
2204,10,8,9,10,40449,,,
2205,10,10,10,10,40289,40274,40307,40329
2206,8,10,10,10,40298,40316,40330,
2207,,,,10,40273,40301,40321,40325
2208,10,10,10,10,40449,40502,40568,
2209,9,8,,9,40288,40288,40288,40292
2210,7,,10,,40309,40328,40386,
2211,,,,,40322,40330,,
2212,,,10,6,40448,,,
2213,,10,,,40457,,,
2214,8,9,,10,40328,40480,40492,
2215,7,,,,40325,,,
2216,10,,,,40245,40250,40675,
2217,10,10,,8,40416,40466,,
2218,10,10,10,10,40322,40452,40466,
2219,10,,,,40323,,,
2220,10,,,,40157,40161,40217,
2221,,,,,40338,,,
2222,,,10,,40468,,,
2223,8,,,,40455,,,
2224,10,10,,,40465,40469,,
2225,,,,,40452,40460,,
2226,,9,,,40445,40450,40464,40518
2227,,,,,40475,,,
2228,8,8,,3,40325,40329,40330,40337
2229,,,10,,40238,40248,40252,40280
2230,5,8,7,9,40474,40512,,
2231,10,,9,10,40308,40308,40301,
2232,,,,,40461,40469,,
2233,10,10,10,10,40325,40470,40518,
2234,9,9,8,7,40294,40324,40483,
2235,8,7,9,10,40337,40450,,
2236,10,10,,10,40360,40466,40498,
2237,,,,,40525,40527,40527,
2238,8,,9,,40491,40501,,
2239,,,,,40288,,,
2240,9,,,10,40294,40489,,
2241,8,,,,40512,40517,,
2242,10,9,9,10,40326,40330,,
2243,10,10,10,10,40325,40330,40410,
2244,10,,,,40301,,,
2245,9,,,,,,,
2246,9,,,,40483,40513,,
2247,10,,,,40518,40520,,
2248,10,,5,,40329,,,
2249,10,10,10,10,40315,40318,40330,
2250,9,,10,,40279,40285,40307,40324
2251,10,,,,40345,40467,40474,
2252,8,,8,9,40281,40287,,
2253,,,10,,,,,
2254,,,,,40280,40289,,
2255,,10,,,40324,40325,,
2256,10,,10,,40330,,,
2257,10,,9,,40288,40308,40312,40329
2258,,10,8,6,40330,40451,,
2259,9,,,,40323,40329,,
2260,,,,,40253,40652,,
2261,,,,,40449,40478,,
2262,,,,,40443,40443,40459,
2263,9,,,,40502,40508,,
2264,,10,9,10,40373,40466,,
2265,10,10,9,,40350,40474,,
2266,,,,,40297,40305,40310,40313
2267,10,,,,40613,40613,40617,
2268,9,9,,,40325,40347,40474,
2269,,,10,8,40323,40329,40449,
2270,10,,,,40322,40324,40327,
2271,9,,8,,40256,40284,40324,40336
2272,10,,,,40512,,,
2273,10,10,10,10,40574,,,
2274,10,,9,,40323,40326,,
2275,10,,,10,40310,40338,,
2276,10,,,,40437,40451,,
2277,9,9,9,9,40331,40331,,
2278,10,,9,,40466,,,
2279,10,,,,40448,,,
2280,10,,,,40452,40455,,
2281,,,,,40326,,,
2282,10,,10,,40247,40248,40248,
2283,10,,,,40445,40466,,
2284,,10,10,,40330,40489,,
2285,10,10,,10,40479,40494,,
2286,10,,,,40510,40515,40520,
2287,,,,,40476,,,
2288,8,,,,40459,,,
2289,10,,,,40497,,,
2290,10,,,,40491,,,
2291,,,,,40497,,,
2292,10,10,10,10,40331,40457,40515,
2293,10,,9,,40281,40281,40281,40285
2294,,,,,40327,,,
2295,10,,,,40280,40329,40486,
2296,9,,,,40475,,,
2297,8,,,,40322,40341,,
2298,9,,,,40319,,,
2299,,9,,,40500,,,
2300,,,,,40337,40478,,
2301,,,,,40273,40455,,
2302,8,,,,40480,,,
2303,8,,,,40486,,,
2304,,10,,,40463,40550,,
2305,10,,,,40517,40525,40527,40558
2306,,10,,,40294,40295,40295,
2307,,,,,40330,,,
2308,9,,,,40295,40308,,
2309,10,,,,40464,40479,,
2310,7,,,,40337,40456,,
2311,10,9,,9,40302,40448,,
2312,10,,,,40319,40647,,
2313,8,,,,40338,40338,,
2314,10,10,10,10,40452,,,
2315,10,,10,,40513,,,
2316,10,,,10,40464,40591,,
2317,,10,,10,,,,
2318,10,10,10,10,40305,,,
2319,,9,,10,40710,,,
2320,,,,10,40451,40470,40584,
2321,10,,10,,40317,40325,40329,40330
2322,10,,,,40535,40547,40549,40551
2323,10,,,,40446,40447,40451,40468
2324,10,,10,10,40313,40326,40330,
2325,,,10,,40327,,,
2326,10,,,,40318,40323,40323,
2327,9,,,,40333,,,
2328,10,,10,,40298,40343,,
2329,,,,,40318,,,
2330,9,,,,40252,,,
2331,10,,10,,40470,40500,,
2332,9,,,,40295,40305,,
2333,,,,,40469,,,
2334,10,,,,40318,,,
2335,,5,5,,40471,40478,40483,
2336,10,9,,,40471,40501,,
2337,6,,,,40263,40637,,
2338,9,9,9,7,40310,40322,40326,40336
2339,8,,,,40327,40336,40337,40338
2340,8,,,,40329,40332,40480,
2341,10,10,,,40436,40496,,
2342,,,,,40472,40473,,
2343,10,,9,,40363,,,
2344,10,,,,40251,,,
2345,,,,,40329,,,
2346,10,9,8,,40483,40499,,
2347,10,,,8,40490,40495,40500,40501
2348,10,9,10,9,40452,40464,,
2349,9,9,9,9,40465,40474,40481,40485
2350,10,,,,40284,40295,40696,
2351,10,,,,40322,40332,,
2352,10,10,10,,40337,40423,40439,40451
2353,10,10,9,,40452,40464,40480,
2354,,,,,40330,40339,,
2355,10,,7,,40482,40491,,
2356,9,,,8,40336,,,
2357,10,,,,40329,40459,,
2358,6,,7,,40330,40466,,
2359,9,,,,40324,40337,,
2360,10,,10,10,40574,40581,40703,
2361,,,,,40455,,,
2362,,,,,40553,,,
2363,10,10,10,10,40457,40469,40590,
2364,,,10,,40478,40483,40491,
2365,8,,,,40326,40333,,
2366,10,,10,10,40313,40322,40329,40360
2367,9,,,,40311,40329,40336,40616
2368,10,,10,,40457,,,
2369,10,9,,,40466,,,
2370,8,,,,40332,40472,,
2371,10,9,,,40321,40329,,
2372,10,,,,40323,40330,,
2373,10,10,10,10,40331,40455,40473,
2374,10,,3,,40464,,,
2375,9,,,,40466,,,
2376,10,,10,,40501,,,
2377,10,,10,,40467,40481,40492,
2378,,,,,40329,40330,40450,40461
2379,10,10,10,10,40459,40470,40477,
2380,9,10,,9,40326,,,
2381,10,,,,40437,40447,40451,
2382,7,10,9,,40498,,,
2383,,,,,40497,40513,,
2384,10,,,,40410,40411,40413,
2385,9,10,9,9,40517,40525,40527,40661
2386,10,10,10,,40349,40463,40491,
2387,10,,,,40616,40616,40617,
2389,10,9,8,,40447,40455,40459,
2388,5,,,,40448,40529,,