ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
n1000-1,5.00E+05,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770
n1000-2,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
n1000-3,150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800
n1000-4,20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0
n1000-5,4.00E+05,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712
n1000-6,210000,2,1,1,38,1,-2,-1,0,-1,-1,0,0,250,123,789,1222,0,250,0,789,1222,9616
n1000-7,30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,390,240,1320,780,390,390,240,1470,0,0
n1000-8,150000,2,2,2,27,0,0,0,0,0,0,127402,110050,51547,44384,36900,29497,4500,1745,1566,1208,1077,2529
n1000-9,50000,1,2,2,27,3,2,2,0,0,-1,13694,14880,14242,13968,14319,2614,1700,0,426,501,2614,1390
n1000-10,1.00E+05,1,1,2,27,0,0,0,0,0,0,55734,52557,33415,28776,17580,6441,1631,1286,200,645,909,200
n1000-11,360000,2,2,2,32,0,0,0,0,0,0,93029,94054,91834,95631,100123,100738,10000,7000,10000,10000,10000,10000
n1000-12,190000,2,1,2,28,0,0,0,0,0,0,143464,146943,151905,153538,156664,160361,5795,7408,5645,5753,6370,5865
n1000-13,260000,2,1,2,30,0,0,0,0,0,0,156882,160246,159988,158114,158762,159108,10000,8000,6000,7000,7000,6000
n1000-14,230000,2,1,2,35,-2,-2,-2,-2,-2,-2,761,300,399,665,576,613,300,399,665,576,613,520
n1000-15,80000,2,1,2,29,1,-1,-1,-2,-2,-2,0,80000,0,0,0,0,80000,0,0,0,0,0
n1000-16,2.00E+05,1,1,1,52,-2,-2,-2,-2,-2,-2,3858,2690,3410,0,0,82150,2690,3487,0,0,85900,396
n1000-17,80000,2,2,1,32,-1,-1,-2,-2,-2,-2,11262,0,0,0,0,0,0,0,0,0,0,0
n1000-18,180000,1,2,1,34,-1,-1,-1,-1,-1,-1,2927,2790,1140,2144,1180,1382,2790,1140,2144,1180,1382,2440
n1000-19,60000,1,3,1,38,1,2,2,0,0,2,29295,30321,31018,32193,34213,35002,1800,1500,2000,2700,1500,0
n1000-20,620000,2,2,1,45,2,2,0,0,0,0,160837,156839,160440,163781,167159,170894,0,6200,6000,6000,6500,6000
n1000-21,130000,2,2,2,29,0,0,0,0,0,0,131575,130931,132969,45584,46516,47455,6700,6000,1291,1319,1336,1365
n1000-22,2.00E+05,2,1,1,37,1,-2,-2,-2,-1,-1,0,0,0,0,595,0,0,0,0,595,0,2370
n1000-23,230000,1,1,1,39,-1,-1,-1,-1,-1,-1,660,660,660,660,660,660,660,660,660,660,660,660
n1000-24,150000,1,3,2,39,1,-1,-1,-2,-2,-2,214450,147280,150000,0,-5000,0,5180,5000,0,0,5000,0
n1000-25,10000,2,3,2,22,0,0,0,0,-2,-2,8109,9778,8259,0,0,0,2000,1036,0,0,0,0
n1000-26,150000,2,3,2,28,0,0,0,0,0,0,101593,101886,101441,100829,101913,96704,4000,4032,3410,4000,3665,3050
n1000-27,50000,2,2,1,34,0,0,0,0,0,0,10821,11877,13656,14949,16567,16826,1221,2000,1500,2000,2000,4000
n1000-28,50000,2,1,2,33,-1,2,-1,-1,-1,-2,7363,5180,31902,11044,0,0,39,32013,11079,0,0,0
n1000-29,20000,2,2,3,52,0,0,0,0,0,0,14591,15616,16628,16958,17314,17664,1265,1277,607,629,638,641
n1000-30,50000,2,2,1,43,0,0,0,-1,0,0,23587,24580,20165,10732,10566,10757,1800,1775,10732,384,757,501
n1000-31,150000,2,3,1,34,-1,-1,-1,-1,-1,-1,772,337,618,150,150,377,340,618,150,150,227,0
n1000-32,170000,2,1,2,28,2,2,2,2,2,2,131864,133897,129761,138604,136283,145012,5600,0,11000,0,11000,5656
n1000-33,120000,1,1,2,32,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
n1000-34,70000,1,1,3,57,0,0,0,0,0,0,69398,70352,69936,68118,65942,62495,2667,2321,2391,2316,2466,1451
n1000-35,210000,1,3,1,29,1,2,0,0,0,0,198510,194040,199393,194538,195990,194136,0,10000,7000,8000,8000,7200
n1000-36,50000,2,2,2,23,0,0,0,2,2,2,47053,47835,51109,51713,52738,48789,1842,4116,2000,1950,0,1885
n1000-37,230000,2,2,1,34,0,0,0,0,0,0,234328,234211,157345,155335,153427,150514,8913,5449,5339,5370,4435,4432
n1000-38,360000,1,1,2,33,1,2,0,0,-1,-1,71195,60553,60158,16672,35039,8320,0,1399,0,35039,8320,5169
n1000-39,80000,1,3,1,62,-1,-1,-1,-1,-1,-1,1262,1642,1975,672,5112,3932,1642,1975,672,5112,3932,20289
n1000-40,50000,1,2,2,27,2,2,0,0,0,0,23901,13262,8643,7382,1975,50514,4146,1200,0,0,49800,0
n1000-41,350000,2,1,1,52,2,2,7,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0
n1000-42,70000,1,3,2,28,1,2,0,0,0,0,68970,67308,68582,68361,68060,68223,0,3005,2546,2602,2430,2659
n1000-43,20000,2,1,2,23,0,0,-2,-1,0,0,6733,0,0,19132,19533,20235,0,0,19132,709,1027,600
n1000-44,50000,2,3,2,30,0,0,2,0,0,0,50332,51247,50073,26550,25842,25996,4210,0,1500,1090,2000,2000
n1000-45,330000,2,2,1,28,-1,-1,-1,-1,-1,-1,390,0,780,150,320,780,0,780,150,320,1000,0
n1000-46,130000,1,1,2,30,0,0,0,0,0,0,4536,5616,6455,6791,6991,0,1161,1000,336,200,0,0
n1000-47,50000,2,2,1,27,0,0,0,0,0,0,9877,10800,5921,6042,4012,0,1140,1000,121,0,0,10620
n1000-48,390000,1,1,1,41,0,0,0,0,0,0,495559,248821,216051,208373,199727,186332,10218,8035,7035,6056,8053,5603
n1000-49,50000,2,3,1,22,0,0,0,0,-1,0,22854,31329,23927,0,83,20083,9000,1507,0,83,20000,600
n1000-50,360000,1,1,2,36,-1,-1,-1,0,0,0,356913,208305,68214,168014,16209,18918,210000,170000,1.00E+05,3000,3000,5000
n1000-51,120000,1,1,2,27,-1,-1,-1,-1,0,0,316,316,1360,9474,10158,2551,316,1360,10000,1000,2000,3000
n1000-52,1.00E+05,1,3,1,44,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390
n1000-53,60000,2,3,1,50,0,0,0,0,0,0,61600,61952,60661,29095,17636,31406,3300,2000,900,889,21500,3600
n1000-54,90000,2,2,2,24,-1,0,0,0,0,0,17524,22184,23270,27372,31905,34954,5000,5000,5000,5000,3600,2000
n1000-55,180000,2,2,1,39,-1,-1,-1,-1,0,-1,1081,148,148,296,148,148,148,148,296,0,148,1495
n1000-56,2.00E+05,2,2,1,30,1,-2,-1,0,0,0,26223,-137,73284,65428,65820,2859,0,73421,1309,392,2859,1250
n1000-57,160000,2,1,2,32,-2,-2,-2,-2,-2,-2,16922,2552,0,0,0,0,2555,0,0,0,0,0
n1000-58,130000,2,2,2,25,-1,-1,-1,-1,-1,-1,1031,1583,776,776,776,776,1583,1000,776,776,776,12184
n1000-59,240000,2,2,1,42,0,0,0,2,0,0,21943,36519,55515,49049,57178,42009,15000,20000,3330,30000,10000,10000
n1000-60,40000,2,1,2,26,0,0,0,0,0,0,12308,13604,14873,15624,15972,16308,1500,1500,1000,600,600,1700
n1000-61,170000,2,2,1,50,0,0,0,0,0,0,177956,176155,171665,65479,61234,42484,7262,5586,2272,2998,39321,1390
n1000-62,220000,2,1,2,36,-2,-2,-2,-2,-2,-2,0,420,0,584,790,0,420,0,584,790,0,1309
n1000-63,120000,2,2,2,30,0,0,0,0,0,0,16812,17571,18013,18197,9032,11951,1358,1126,636,650,4000,1800
n1000-64,50000,1,3,1,46,-1,2,2,-2,-2,-2,13473,12800,0,0,0,0,0,0,0,0,0,0
n1000-65,290000,2,1,2,24,-2,-2,-1,-1,-1,0,14931,15090,19239,4940,93332,96112,15090,19239,4975,96151,5500,4000
n1000-66,2.00E+05,1,1,2,34,1,-2,-2,-2,-2,-2,-800,-2685,-6144,-7905,-10213,-11060,0,0,0,0,0,0
n1000-67,80000,2,2,2,40,0,0,0,0,0,0,78717,75873,68602,54617,55987,53895,3300,3300,2000,2200,2100,1900
n1000-68,30000,2,2,2,47,2,2,2,2,2,2,16039,17080,17302,17521,17893,18252,1600,800,800,800,800,0
n1000-69,340000,1,2,1,41,0,0,0,0,0,0,331003,332829,274467,275341,280913,270448,15110,11019,9502,9579,9026,8719
n1000-70,70000,1,1,2,30,2,2,0,0,0,0,34985,34146,35271,35986,36905,37641,0,2000,1300,1500,1500,1576
n1000-71,20000,2,2,1,42,2,0,0,0,0,0,12426,13143,14152,14435,14802,15256,1225,1234,517,600,700,710
n1000-72,80000,1,2,2,30,0,0,0,0,0,0,69392,64149,53200,29707,28427,10072,3046,1874,2000,1000,1000,199
n1000-73,170000,1,2,1,37,-1,-1,-1,-1,-2,-1,490,-10,4910,0,0,1000,0,4920,0,0,1000,1030
n1000-74,260000,2,2,1,34,0,0,0,0,0,0,135489,138509,138076,110044,111906,104073,5007,5003,5004,4052,4010,3835
n1000-75,160000,2,2,1,34,2,2,2,0,0,0,77290,72681,66526,66893,66637,67877,4500,2500,3000,3000,4000,2305
n1000-76,210000,1,1,1,40,-1,-1,-1,-1,-1,-1,6223,8143,3712,3091,90817,308,8146,3719,3091,90817,308,3369
n1000-77,360000,2,1,1,46,1,-1,2,2,-1,-1,-200,2716,200,0,12140,42424,2916,0,0,12140,42424,19825
n1000-78,2.00E+05,2,2,2,39,7,6,5,4,3,2,195156,190843,186029,181866,179272,148704,0,0,0,39,85,3054
n1000-79,320000,1,1,2,32,-1,2,-1,-1,-2,-2,752,169,1940,0,0,0,0,1948,0,0,0,0
n1000-80,30000,1,2,2,24,2,0,0,0,2,2,25851,26912,27535,29175,28625,30383,1779,1402,2042,0,2192,0
n1000-81,2.00E+05,1,2,2,25,1,-2,-2,-1,0,0,0,0,0,1517,48669,49635,0,0,1517,48000,1775,1992
n1000-82,2.00E+05,1,2,1,46,1,-1,-1,-1,-1,-1,0,552,2523,2327,2308,0,552,2531,2327,2308,0,0
n1000-83,50000,1,3,1,36,0,0,0,0,0,0,74969,76012,77330,70579,63751,56977,2846,2671,2396,2177,2146,2055
n1000-84,1.00E+05,2,1,1,35,2,0,0,2,2,2,47253,49489,53034,53568,54563,56013,3000,5000,2000,2000,2500,2300
n1000-85,160000,2,2,1,28,0,0,0,0,0,0,54232,55456,56625,57757,59424,60631,2100,2100,2500,3000,2200,2200
n1000-86,30000,2,1,2,22,-1,-1,-1,0,0,-2,3963,6222,2936,588,0,0,6222,2936,0,0,0,0
n1000-87,130000,2,1,2,32,1,-2,-1,-1,-2,-1,0,0,3726,0,0,1300,0,3726,0,0,1300,5400
n1000-88,50000,2,2,2,28,-2,-2,-1,0,0,0,13733,5570,2698,4640,6554,8434,2037,2698,2000,2000,2000,2000
n1000-89,180000,2,3,1,47,-1,0,0,0,0,0,14525,13828,10394,17562,8495,5090,1347,5000,10026,5000,785,5000
n1000-90,250000,2,2,2,40,-2,-2,-2,-2,-2,-2,0,1069,-320,-320,1680,4058,1069,320,0,2000,4058,3000
n1000-91,190000,1,2,1,39,0,0,0,0,0,0,144414,145572,142816,145463,147475,149853,7000,6000,6000,5500,6000,5500
n1000-92,50000,1,1,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
n1000-93,20000,2,2,1,45,0,0,0,0,2,0,14296,15321,16333,17434,17013,17500,1262,1274,1375,0,771,805
n1000-94,50000,2,1,2,24,4,3,2,2,2,2,38965,38063,38838,39598,40313,41293,0,1700,1700,1500,1800,1700
n1000-95,80000,2,1,2,26,0,0,0,0,0,0,66982,66130,67489,68535,66835,64962,2986,3056,2787,2745,2564,2926
n1000-96,20000,1,2,2,25,0,0,0,0,0,0,13610,14160,15200,14800,17800,10000,1360,1400,0,3000,200,0
n1000-97,20000,1,1,1,29,0,0,0,-1,-1,-1,16961,16365,9342,556,19967,1742,2000,1139,556,20191,1742,0
n1000-98,170000,2,2,1,33,0,0,0,0,0,0,172382,173101,171158,121399,118539,121276,6558,6316,3828,3569,3959,3997
n1000-99,50000,2,2,1,38,0,0,2,0,0,0,20838,23204,22538,22864,23495,24100,3000,0,1000,1000,1000,1000
n1000-100,30000,1,3,2,25,2,2,2,0,0,2,22440,24168,23481,23950,25659,25098,2390,0,859,2097,0,1092
n1000-101,20000,1,2,2,22,0,0,2,0,0,0,8134,9992,10526,11049,11865,12665,2000,1000,1000,1000,1000,8100
n1000-102,80000,2,3,1,33,-1,-1,0,-1,-1,-2,325,107,1107,1338,0,0,107,1000,1338,0,0,1080
n1000-103,140000,2,2,2,35,1,2,0,0,0,0,148305,141907,141940,113028,112667,112318,0,7000,3923,4000,4100,4788
n1000-104,90000,2,3,1,40,-1,-1,-1,-1,-1,-1,3569,7319,7608,1720,45000,0,7385,7608,1720,45000,15000,1543
n1000-105,50000,2,2,2,22,-2,-1,0,0,0,0,836,10214,10057,9221,8808,3861,10214,2000,0,423,3861,3665
n1000-106,420000,1,2,2,28,0,0,0,0,0,0,22872,23309,24612,25400,26333,27887,1700,2000,1500,1500,2000,1567
n1000-107,30000,2,1,2,22,-1,-1,2,0,0,0,14885,16579,17498,25032,25626,27191,1939,1500,8213,1000,2000,3200
n1000-108,50000,1,2,2,35,0,0,0,0,-1,-1,14536,10827,9594,7309,1277,3310,2000,2000,2000,1277,3294,0
n1000-109,30000,2,1,1,30,2,2,2,3,2,2,12109,12917,13909,13394,13036,15019,1300,1500,0,0,2200,0
n1000-110,1.00E+05,2,2,2,39,0,0,-1,0,0,-1,24110,10497,20159,7053,0,1120,2000,20159,500,0,1120,1909
n1000-111,30000,2,3,1,29,2,2,2,2,2,0,26836,28894,30571,31011,30389,30115,2500,2670,2000,0,1000,1000
n1000-112,120000,1,2,2,34,0,0,0,0,0,2,131773,58259,54699,54832,53693,48731,3000,1944,5000,3692,0,2000
n1000-113,180000,2,3,2,24,1,-1,-1,-1,-2,-1,0,35300,1000,0,0,1245,35300,1000,0,0,1245,0
n1000-114,80000,2,2,1,30,0,0,0,0,0,2,42755,45053,46104,48327,53549,52457,3000,1800,3000,6000,2900,2000
n1000-115,360000,1,1,1,46,-1,-1,-1,-1,0,0,2171,1063,91502,100125,84773,76951,1068,91679,45086,2223,2091,9890
n1000-116,240000,2,1,2,40,-1,2,2,-2,-1,-1,1841,764,-13,-13,687,-44,2,0,0,700,0,0
n1000-117,240000,1,2,1,37,-1,-1,-1,0,0,0,2208,5652,34351,22241,8472,500,5665,35000,8877,500,0,21257
n1000-118,440000,2,3,1,40,0,0,0,0,0,0,54408,57901,61914,65863,69792,73346,5000,5000,5000,5000,5000,5000
n1000-119,290000,2,2,2,25,0,0,0,0,0,0,71559,66658,68627,61578,59274,61314,2500,3000,3000,3000,3000,3000
n1000-120,80000,2,1,1,45,0,0,0,0,0,0,81133,81466,80822,79207,79652,81165,3502,3000,4000,3100,3000,3000
n1000-121,340000,1,2,1,35,0,0,0,0,0,0,39229,40747,41930,43397,44710,46143,2000,2000,2000,2000,2000,2000
n1000-122,30000,2,2,2,24,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0
n1000-123,80000,2,3,2,34,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
n1000-124,1.00E+05,2,2,1,38,1,2,0,0,2,0,12893,12447,14967,16773,16427,19053,0,3000,2000,0,3000,2000
n1000-125,220000,2,3,2,27,2,2,2,3,2,0,150739,153827,156531,154721,150627,154034,7000,7000,2300,0,5600,4500
n1000-126,130000,1,1,2,28,0,0,0,0,0,0,89418,83196,75028,65086,60346,52272,4000,2338,2000,2018,2000,1700
n1000-127,120000,2,1,2,28,-1,-1,2,0,0,-1,200,1986,1117,425,-267,1451,1986,0,0,0,2210,0
n1000-128,30000,1,5,2,23,-2,-1,-1,-1,0,0,2700,899,-1581,28419,29016,30908,899,0,30000,1055,2376,0
n1000-129,240000,2,1,1,54,0,0,0,0,2,0,60381,64395,66323,70422,69170,71018,5000,3000,5200,0,3000,5400
n1000-130,430000,2,1,2,33,0,0,0,0,2,2,40984,37873,34499,28300,24237,12860,10000,5000,10000,0,4000,10000
n1000-131,130000,2,2,2,28,-1,-1,-1,-1,-1,-1,390,7412,390,4134,540,390,7412,390,4134,540,390,2596
n1000-132,50000,2,2,1,24,0,0,0,0,0,0,49387,50284,50639,48563,49628,48293,2000,1727,1846,1777,1665,1500
n1000-133,50000,1,3,2,26,2,0,0,0,0,0,50951,49139,46802,47622,48686,47459,2500,2100,1900,2000,1746,1890
n1000-134,260000,1,2,2,44,0,0,0,0,0,0,36048,37157,38040,33882,34589,35397,1688,1571,1213,1253,1381,1166
n1000-135,90000,2,2,2,23,2,2,2,2,2,2,18168,17593,19492,18884,21410,21841,0,2500,0,3000,930,0
n1000-136,360000,2,1,2,28,-2,-2,-2,-2,-2,-2,2400,2500,0,0,0,0,2500,0,0,0,0,0
n1000-137,230000,2,1,1,38,0,-1,-1,-1,-1,-1,12907,316,1156,316,316,316,316,1156,316,316,316,316
n1000-138,110000,2,2,2,33,0,0,0,0,0,0,107028,106818,108730,112035,48492,43413,4000,3783,6488,4850,2000,6446
n1000-139,30000,2,2,1,27,2,2,2,2,2,2,27896,26835,28690,27633,29184,28776,0,2659,0,2309,1087,0
n1000-140,150000,1,2,1,39,0,0,0,2,2,2,76415,78836,87265,85084,93323,91783,4150,10575,0,9717,0,3300
n1000-141,120000,1,2,2,49,0,0,0,0,0,0,38878,39917,32048,29131,30288,30192,2000,2000,2000,3000,3000,5000
n1000-142,80000,2,1,2,23,0,0,0,0,0,0,23998,17442,15948,17118,9883,8689,3150,2000,6000,500,304,500
n1000-143,290000,1,1,1,63,0,0,0,0,0,2,183800,187658,193030,195356,207180,211614,6820,8500,7020,15000,8000,0
n1000-144,50000,1,2,2,25,0,0,-1,-1,-1,0,11014,11092,692,1184,24119,24027,1402,694,1186,34029,1002,1023
n1000-145,320000,2,1,1,34,-2,-2,-2,-2,-2,-2,11317,2612,1265,3031,13001,8807,2617,1265,3031,13001,8807,4003
n1000-146,310000,2,1,1,37,-1,-1,-1,-1,0,-1,325,4373,26863,7443,4221,8172,4373,26863,7443,0,8172,31362
n1000-147,180000,1,2,1,35,-1,-1,-1,-1,-1,-1,1099,1099,1099,1099,0,1099,1099,1099,1099,0,1099,0
n1000-148,80000,1,2,1,30,0,0,0,0,0,-1,110692,105273,103223,97871,38640,14734,3500,4000,2600,3000,19707,50000
n1000-149,50000,2,1,2,25,1,-2,-2,-2,-2,-1,0,0,0,0,0,550,0,0,0,0,550,0
n1000-150,90000,1,2,1,35,8,7,6,5,4,3,112662,111077,108539,106001,103816,101878,0,0,0,0,0,0
n1000-151,260000,2,1,2,29,-2,-2,-2,-2,-1,-1,1476,1476,1476,1476,20976,1476,1476,1476,1476,20976,1476,1476
n1000-152,50000,1,1,2,38,-1,-1,-1,-1,-1,-1,390,390,390,390,390,5010,390,390,390,390,5010,390
n1000-153,280000,2,1,2,32,0,0,0,0,0,0,202506,197855,239059,282518,248238,210267,10547,80004,68410,7767,6308,5437
n1000-154,160000,2,1,1,39,0,0,2,0,0,0,43583,50028,48928,49812,50855,52354,7500,0,2000,2000,2500,2100
n1000-155,120000,2,2,1,40,0,0,0,0,0,0,22462,15692,19312,13262,16923,16903,5000,10000,5000,7000,5000,10000
n1000-156,2.00E+05,1,1,1,45,1,-1,-1,-2,-2,-2,0,479,0,0,0,0,479,0,0,0,0,0
n1000-157,20000,1,2,2,24,1,2,2,2,2,2,11893,12906,12902,12398,13297,12934,1500,500,0,1100,0,1500
n1000-158,230000,2,1,2,30,-1,-1,-1,-1,-1,-1,754,-441,4410,0,711,5650,0,4851,0,711,5650,0
n1000-159,50000,1,1,1,25,0,0,2,0,0,0,5472,5891,6595,8400,4041,4815,1500,1000,2000,1000,1000,2000
n1000-160,50000,1,2,3,41,0,0,0,0,0,0,52260,40893,81308,41463,40045,40845,1679,1640,1449,1454,1466,1526
n1000-161,30000,2,2,1,30,0,0,0,-2,-2,-2,14451,15525,0,0,0,0,1525,0,0,0,0,0
n1000-162,60000,2,2,2,26,0,0,0,0,0,0,56146,56929,55009,30181,41528,21069,2314,1459,914,1900,800,932
n1000-163,250000,1,1,2,30,-2,-2,-2,-2,-2,-2,2729,2538,6244,1297,1763,1907,2543,6247,1300,1766,1912,1000
n1000-164,60000,2,2,1,33,0,0,0,0,0,0,54660,49907,44057,27510,28086,29119,1879,1500,1000,1019,1500,1000
n1000-165,30000,1,3,2,46,3,2,0,0,0,0,13784,13277,13984,14350,14650,15156,0,1234,600,532,750,825
n1000-166,50000,2,5,2,42,0,0,0,0,0,0,50806,48798,29003,28911,28601,29215,1545,1454,1019,1039,1091,1015
n1000-167,20000,1,3,1,56,1,2,0,0,2,2,8766,8481,13318,15096,14717,16159,0,5000,2000,0,2000,0
n1000-168,5.00E+05,1,1,1,50,1,2,2,2,2,2,74850,76463,77611,78735,80430,82068,3400,3000,3000,3100,3110,0
n1000-169,20000,2,1,2,24,0,0,-1,-1,-2,-2,16199,0,187,-18,-18,-18,0,187,0,0,0,0
n1000-170,120000,2,1,2,27,0,0,0,0,0,0,70835,59986,60779,62958,57763,53004,3000,2500,3000,2000,2000,2500
n1000-171,50000,1,3,1,53,0,0,0,0,0,0,41674,40012,31089,14638,13577,16333,1660,1612,652,1300,3000,2500
n1000-172,1.00E+05,2,2,1,38,1,-1,-1,-2,-2,-1,0,199,0,0,0,150,199,0,0,0,150,550
n1000-173,50000,1,2,2,51,0,0,0,0,0,0,50383,49073,31036,20061,19710,19687,2304,2224,19691,1000,725,1000
n1000-174,210000,2,1,1,34,0,0,0,0,0,0,200239,195025,165356,116351,95854,91173,9510,7000,10079,4500,3532,3500
n1000-175,280000,2,1,2,31,-2,-2,-2,-2,-2,-2,326,326,0,326,652,0,326,0,326,652,0,652
n1000-176,180000,2,1,1,40,-1,0,0,0,-1,0,4236,6614,6216,3622,4095,6596,3016,3000,1622,4095,3000,2827
n1000-177,50000,2,1,2,31,0,0,0,0,0,0,30291,31498,32205,32846,33535,34201,2000,1534,1175,1218,1224,1281
n1000-178,50000,1,2,2,23,2,2,-1,0,0,0,49365,48927,49543,19649,20064,19691,1200,50189,682,710,690,693
n1000-179,50000,2,2,2,31,0,0,0,0,0,0,45861,47667,48119,8257,8037,9470,3687,5000,1000,309,2000,1000
n1000-180,2.00E+05,1,1,1,63,-1,-1,-1,-1,-1,-1,316,316,316,316,316,316,316,316,316,316,316,316
n1000-181,180000,2,2,1,40,0,0,0,-2,-2,-2,20831,1537,-43,-43,-43,-43,1000,0,0,0,0,0
n1000-182,320000,1,2,2,27,0,0,0,0,0,0,319069,323319,298072,180882,175560,131390,12661,11157,5730,5904,5890,2464
n1000-183,80000,2,1,1,50,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
n1000-184,270000,2,2,1,33,-1,-1,-1,-1,-1,0,11489,8874,3567,1556,7952,10794,8874,3567,1556,7952,4000,2000
n1000-185,150000,1,2,2,26,0,0,0,0,0,0,144614,146446,122634,74711,76532,76452,6700,3764,2700,3000,3000,2800
n1000-186,90000,1,2,2,28,2,0,0,0,2,2,18978,20675,23329,24940,24404,27227,2000,3000,2000,0,3400,0
n1000-187,180000,1,1,1,50,0,0,0,0,0,0,181624,182765,180769,141352,142078,141695,9021,6126,4856,4990,5133,5002
n1000-188,70000,2,2,2,28,1,2,2,2,0,0,70736,72014,72215,70779,62525,71427,3000,2200,0,3000,10000,10000
n1000-189,30000,2,2,2,25,-1,2,2,0,0,0,4471,5747,5509,6260,7654,8522,1500,0,1000,1500,1000,800
n1000-190,150000,2,3,2,25,1,-2,-2,-1,-1,-1,0,0,0,900,0,583,0,0,900,0,583,2000
n1000-191,290000,2,2,1,55,1,-2,-1,-1,-1,2,0,166,2462,-150,1134,777,166,2462,150,1833,0,500
n1000-192,450000,2,1,1,42,-1,-1,-1,-1,-1,-1,72517,0,6281,3446,6157,0,0,6281,3446,6157,0,14380
n1000-193,50000,1,3,1,39,0,0,0,0,0,0,26979,21029,18765,19145,19229,19026,1328,1298,678,687,691,700
n1000-194,5.00E+05,1,1,2,33,-1,-1,-1,-1,-1,-1,3933,5924,39167,4683,7222,35746,5954,39373,4706,7259,35924,5750
n1000-195,360000,2,2,1,49,-1,-1,-2,-2,-2,-2,15000,0,0,0,0,0,0,0,0,0,0,780
n1000-196,250000,2,3,1,55,0,0,0,0,0,0,296963,237684,178151,180993,155516,125063,8000,7400,9700,5100,4500,4012
n1000-197,20000,1,2,1,27,0,0,2,0,0,0,17062,19248,18181,18156,19102,17363,2850,0,514,2000,1000,1570
n1000-198,130000,2,3,2,27,0,0,0,0,0,0,129150,105529,107691,108418,115638,117958,5300,5400,4000,9000,4400,4500
n1000-199,360000,2,1,1,31,-1,-1,-1,-1,-1,-2,460,460,460,399,0,0,460,460,399,0,0,0
n1000-200,50000,1,2,1,48,1,2,2,2,2,0,17613,18334,17742,19273,18826,19213,1298,0,1829,0,849,822
n1000-201,20000,2,2,2,24,2,2,2,2,-1,-1,6270,8284,8000,0,186,3314,2284,0,0,186,3314,3515
